User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
AutoScaling,,2022-05-02T05:06:51Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-08402513445f9ad75""}]",b11c5663-7f9e-4382-9c7c-9656bd753e5b,f9d85875-a982-456e-873c-58f518fc4beb,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-30T19:08:41Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0bd17a3d2e6af0a1e""}]",e8303dfa-4f72-478c-8197-98574f4c11e1,6b2b916e-17aa-4a39-b8b6-2a0ff34149b1,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-30T11:08:14Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0a01c54c51b52bc02""}]",516fed22-f13b-4513-a24f-924291fa6920,7cde9cf6-83d4-4a52-a2c2-59d4ea8ac317,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-29T14:08:59Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-00592202abf40ba47""}]",b537b20e-b6db-45cb-9975-d3f88357f8b8,93e3b7cc-5a33-4dbb-b915-1386854821b0,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-28T13:24:11Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0ecc3cfffc9378b4e""}]",35c897a4-d75c-475a-b409-19ca16e2dc19,afcdb895-5a92-4898-b2cc-44bf6eb272fb,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-26T13:29:01Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0b7ef17ee85d6c0c6""}]",8174a4dd-bff4-4ed2-901d-09316a3f0330,050b0080-1c7d-4d2d-a2c2-3413bf6ce22f,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-25T15:01:08Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-00c3d73825efe4188""}]",99ff1b23-c3b9-497b-9d8e-893ff822d005,9e8bf35c-e4f4-4c2a-9384-c5c04ca8c8be,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-21T15:25:50Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-067604e3480757383""}]",e1045f82-a423-4a4e-b68d-b8df81173ae1,67c79f0e-40fc-47d1-8f22-95d64efaa2f6,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-20T23:18:54Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0ecc92745c85c7a17""}]",3cf3e71a-ec44-45fe-8611-8cf57d3f3c58,2433be92-b76d-4c98-af12-2bc3e8d07113,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-20T07:00:11Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0b765730f8c7a40de""}]",5e25de71-c056-47b1-9643-7a1ccef87a48,6b26395f-068f-4673-b9dc-3d956ce3c651,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-19T13:20:08Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0cbebc4ed22a71566""}]",d710584f-72de-4cde-bfc0-7f492a592cca,8e154985-3a3c-43f1-9393-27f50e39d7ae,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-14T15:49:09Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0f176e28ff8f94d67""}]",a894cfc7-60bc-4342-86e5-048fb1d5f9b3,6fd705b3-2464-4306-bdfc-493598a0d556,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-13T18:44:00Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0f24c8642e9a4d4e1""}]",b6fcbeff-1b99-41d3-8f02-e272f23f2dba,5e8a1f46-5e4d-407d-ae56-6bc01ab632a5,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-08T13:19:42Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0a39fa7eb524049a2""}]",ea29b6c0-9440-41c0-a92d-23b9fc8f6676,af351d79-f4a6-48fb-aceb-ab1f546dab62,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-07T13:24:03Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0d30f5368b32eb4e6""}]",3e062a8a-93fd-408c-b2f8-640c5f5aa305,45d5f14c-950d-4b96-8b04-61494f336c89,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-04T05:07:22Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-047dfcd2d339ef1c0""}]",5698050b-cae5-4afc-99ab-5f6d7ed7edc1,135261f5-c076-4f49-9c93-68b53f72d215,false,AwsApiCall,665843197604,Management
AutoScaling,,2022-04-02T11:07:49Z,ec2.amazonaws.com,TerminateInstances,us-east-2,autoscaling.amazonaws.com,autoscaling.amazonaws.com,,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-02873aebe0a6455a3""}]",8bc1a9cd-4f1b-4d31-ad7e-30ed37151084,c0f73605-bae5-44a1-bf58-e59e7870c424,false,AwsApiCall,665843197604,Management
